ProductKey,Product_Name,Brand,Color,Unit_Cost_USD,Unit_Price_USD,SubcategoryKey,Subcategory,CategoryKey,Category
80,NT Wireless Bluetooth Stereo Headphones E302 Yellow,Northwind Traders,Yellow,18.65,40.55,106,Bluetooth Headphones,1,Audio
81,NT Wireless Bluetooth Stereo Headphones E302 Black,Northwind Traders,Black,18.65,40.55,106,Bluetooth Headphones,1,Audio
82,NT Wireless Bluetooth Stereo Headphones E302 Pink,Northwind Traders,Pink,18.65,40.55,106,Bluetooth Headphones,1,Audio
83,NT Wireless Bluetooth Stereo Headphones M402 Silver,Northwind Traders,Silver,45.98,99.99,106,Bluetooth Headphones,1,Audio
84,NT Wireless Bluetooth Stereo Headphones M402 Red,Northwind Traders,Red,45.98,99.99,106,Bluetooth Headphones,1,Audio
85,NT Wireless Bluetooth Stereo Headphones M402 Green,Northwind Traders,Green,45.98,99.99,106,Bluetooth Headphones,1,Audio
86,NT Wireless Bluetooth Stereo Headphones M402 Black,Northwind Traders,Black,45.98,99.99,106,Bluetooth Headphones,1,Audio
87,NT Wireless Bluetooth Stereo Headphones M402 Purple,Northwind Traders,Purple,45.98,99.99,106,Bluetooth Headphones,1,Audio
88,NT Wireless Transmitter and Bluetooth Headphones M150 Black,Northwind Traders,Black,49.69,149.99,106,Bluetooth Headphones,1,Audio
89,NT Wireless Transmitter and Bluetooth Headphones M150 Blue,Northwind Traders,Blue,49.69,149.99,106,Bluetooth Headphones,1,Audio
90,NT Wireless Transmitter and Bluetooth Headphones M150 Silver,Northwind Traders,Silver,49.69,149.99,106,Bluetooth Headphones,1,Audio
91,NT Wireless Transmitter and Bluetooth Headphones M150 Green,Northwind Traders,Green,49.69,149.99,106,Bluetooth Headphones,1,Audio
92,NT Wireless Transmitter and Bluetooth Headphones M150 Red,Northwind Traders,Red,49.69,149.99,106,Bluetooth Headphones,1,Audio
93,WWI Stereo Bluetooth Headphones E1000 Blue,Wide World Importers,Blue,34.36,67.4,106,Bluetooth Headphones,1,Audio
94,WWI Stereo Bluetooth Headphones E1000 Black,Wide World Importers,Black,34.36,67.4,106,Bluetooth Headphones,1,Audio
95,WWI Stereo Bluetooth Headphones E1000 Silver,Wide World Importers,Silver,34.36,67.4,106,Bluetooth Headphones,1,Audio
96,WWI Stereo Bluetooth Headphones E1000 White,Wide World Importers,White,34.36,67.4,106,Bluetooth Headphones,1,Audio
97,WWI Stereo Bluetooth Headphones E1000 Green,Wide World Importers,Green,34.36,67.4,106,Bluetooth Headphones,1,Audio
98,WWI Wireless Bluetooth Stereo Headphones M170 Silver,Wide World Importers,Silver,55.18,120,106,Bluetooth Headphones,1,Audio
99,WWI Wireless Bluetooth Stereo Headphones M170 Black,Wide World Importers,Black,55.18,120,106,Bluetooth Headphones,1,Audio
100,WWI Wireless Bluetooth Stereo Headphones M170 White,Wide World Importers,White,55.18,120,106,Bluetooth Headphones,1,Audio
101,WWI Wireless Bluetooth Stereo Headphones M170 Pink,Wide World Importers,Pink,55.18,120,106,Bluetooth Headphones,1,Audio
102,WWI Wireless Bluetooth Stereo Headphones M270 Silver,Wide World Importers,Silver,52.88,115,106,Bluetooth Headphones,1,Audio
103,WWI Wireless Bluetooth Stereo Headphones M270 Black,Wide World Importers,Black,52.88,115,106,Bluetooth Headphones,1,Audio
104,WWI Wireless Bluetooth Stereo Headphones M270 White,Wide World Importers,White,52.88,115,106,Bluetooth Headphones,1,Audio
105,WWI Wireless Bluetooth Stereo Headphones M270 Pink,Wide World Importers,Pink,52.88,115,106,Bluetooth Headphones,1,Audio
106,WWI Stereo Bluetooth Headphones New Generation M370 Black,Wide World Importers,Black,61.16,132.99,106,Bluetooth Headphones,1,Audio
107,WWI Stereo Bluetooth Headphones New Generation M370 White,Wide World Importers,White,61.16,132.99,106,Bluetooth Headphones,1,Audio
108,WWI Stereo Bluetooth Headphones New Generation M370 Yellow,Wide World Importers,Yellow,61.16,132.99,106,Bluetooth Headphones,1,Audio
109,WWI Stereo Bluetooth Headphones New Generation M370 Orange,Wide World Importers,Orange,61.16,132.99,106,Bluetooth Headphones,1,Audio
110,WWI Stereo Bluetooth Headphones New Generation M370 Blue,Wide World Importers,Blue,61.16,132.99,106,Bluetooth Headphones,1,Audio
111,WWI Wireless Transmitter and Bluetooth Headphones X250 Black,Wide World Importers,Black,82.83,249.99,106,Bluetooth Headphones,1,Audio
112,WWI Wireless Transmitter and Bluetooth Headphones X250 Blue,Wide World Importers,Blue,82.83,249.99,106,Bluetooth Headphones,1,Audio
113,WWI Wireless Transmitter and Bluetooth Headphones X250 White,Wide World Importers,White,82.83,249.99,106,Bluetooth Headphones,1,Audio
114,WWI Wireless Transmitter and Bluetooth Headphones X250 Red,Wide World Importers,Red,82.83,249.99,106,Bluetooth Headphones,1,Audio
115,WWI Wireless Transmitter and Bluetooth Headphones X250 Silver,Wide World Importers,Silver,82.83,249.99,106,Bluetooth Headphones,1,Audio
116,"Adventure Works 20"" CRT TV E15 Silver",Adventure Works,Silver,86.67,169.99,201,Televisions,2,TV and Video
117,"Adventure Works 20"" CRT TV E15 Black",Adventure Works,Black,86.67,169.99,201,Televisions,2,TV and Video
118,"Adventure Works 20"" CRT TV E15 White",Adventure Works,White,86.67,169.99,201,Televisions,2,TV and Video
119,"Adventure Works 13"" Color TV E25 Silver",Adventure Works,Silver,61.17,119.99,201,Televisions,2,TV and Video
120,"Adventure Works 13"" Color TV E25 Black",Adventure Works,Black,61.17,119.99,201,Televisions,2,TV and Video
121,"Adventure Works 13"" Color TV E25 White",Adventure Works,White,61.17,119.99,201,Televisions,2,TV and Video
122,"Adventure Works 19"" Portable LCD HDTV M110 Silver",Adventure Works,Silver,128.76,279.99,201,Televisions,2,TV and Video
123,"Adventure Works 19"" Portable LCD HDTV M110 Black",Adventure Works,Black,128.76,279.99,201,Televisions,2,TV and Video
124,"Adventure Works 19"" Portable LCD HDTV M110 White",Adventure Works,White,128.76,279.99,201,Televisions,2,TV and Video
125,"Adventure Works 19"" Color Digital TV E35 Silver",Adventure Works,Silver,73.11,143.4,201,Televisions,2,TV and Video
126,"Adventure Works 19"" Color Digital TV E35 Black",Adventure Works,Black,73.11,143.4,201,Televisions,2,TV and Video
127,"Adventure Works 19"" Color Digital TV E35 White",Adventure Works,White,73.11,143.4,201,Televisions,2,TV and Video
128,"Adventure Works 19"" Color Digital TV E35 Brown",Adventure Works,Brown,73.11,143.4,201,Televisions,2,TV and Video
129,"Adventure Works 20"" Analog CRT TV E45 Silver",Adventure Works,Silver,101.97,200,201,Televisions,2,TV and Video
130,"Adventure Works 20"" Analog CRT TV E45 Black",Adventure Works,Black,101.97,200,201,Televisions,2,TV and Video
131,"Adventure Works 20"" Analog CRT TV E45 White",Adventure Works,White,101.97,200,201,Televisions,2,TV and Video
132,"Adventure Works 20"" Analog CRT TV E45 Brown",Adventure Works,Brown,101.97,200,201,Televisions,2,TV and Video
133,"Adventure Works 20"" LCD HDTV M120 Silver",Adventure Works,Silver,160.93,349.95,201,Televisions,2,TV and Video
134,"Adventure Works 20"" LCD HDTV M120 Black",Adventure Works,Black,160.93,349.95,201,Televisions,2,TV and Video
135,"Adventure Works 20"" LCD HDTV M120 White",Adventure Works,White,160.93,349.95,201,Televisions,2,TV and Video
136,"Adventure Works 20"" LCD HDTV M120 Brown",Adventure Works,Brown,160.93,349.95,201,Televisions,2,TV and Video
137,"Adventure Works 32"" LCD HDTV M130 Silver",Adventure Works,Silver,229.93,499.99,201,Televisions,2,TV and Video
138,"Adventure Works 32"" LCD HDTV M130 Black",Adventure Works,Black,229.93,499.99,201,Televisions,2,TV and Video
139,"Adventure Works 32"" LCD HDTV M130 White",Adventure Works,White,229.93,499.99,201,Televisions,2,TV and Video
140,"Adventure Works 32"" LCD HDTV M130 Brown",Adventure Works,Brown,229.93,499.99,201,Televisions,2,TV and Video
141,"Adventure Works 15.6"" LCD TV M130W Silver",Adventure Works,Silver,152.94,299.99,201,Televisions,2,TV and Video
142,"Adventure Works 15.6"" LCD TV M130W Black",Adventure Works,Black,152.94,299.99,201,Televisions,2,TV and Video
143,"Adventure Works 15.6"" LCD TV M130W White",Adventure Works,White,152.94,299.99,201,Televisions,2,TV and Video
144,"Adventure Works 15.6"" LCD TV M130W Brown",Adventure Works,Brown,152.94,299.99,201,Televisions,2,TV and Video
145,"Adventure Works 52"" LCD HDTV X590 Silver",Adventure Works,Silver,960.82,2899.99,201,Televisions,2,TV and Video
146,"Adventure Works 52"" LCD HDTV X590 Black",Adventure Works,Black,960.82,2899.99,201,Televisions,2,TV and Video
147,"Adventure Works 52"" LCD HDTV X590 White",Adventure Works,White,960.82,2899.99,201,Televisions,2,TV and Video
148,"Adventure Works 52"" LCD HDTV X590 Brown",Adventure Works,Brown,960.82,2899.99,201,Televisions,2,TV and Video
149,"Adventure Works 40"" LCD HDTV M690 Silver",Adventure Works,Silver,392.6,1184.97,201,Televisions,2,TV and Video
150,"Adventure Works 40"" LCD HDTV M690 Black",Adventure Works,Black,392.6,1184.97,201,Televisions,2,TV and Video
151,"Adventure Works 40"" LCD HDTV M690 White",Adventure Works,White,392.6,1184.97,201,Televisions,2,TV and Video
152,"Adventure Works 40"" LCD HDTV M690 Brown",Adventure Works,Brown,392.6,1184.97,201,Televisions,2,TV and Video
153,"Adventure Works 26"" 720p LCD HDTV M140 Silver",Adventure Works,Silver,216.12,469.97,201,Televisions,2,TV and Video
154,"Adventure Works 26"" 720p LCD HDTV M140 Black",Adventure Works,Black,216.12,469.97,201,Televisions,2,TV and Video
155,"Adventure Works 26"" 720p LCD HDTV M140 White",Adventure Works,White,216.12,469.97,201,Televisions,2,TV and Video
156,"Adventure Works 26"" 720p LCD HDTV M140 Brown",Adventure Works,Brown,216.12,469.97,201,Televisions,2,TV and Video
157,"Adventure Works 37"" 1080p LCD HDTV M150W Silver",Adventure Works,Silver,505.85,1099.99,201,Televisions,2,TV and Video
158,"Adventure Works 37"" 1080p LCD HDTV M150W Black",Adventure Works,Black,505.85,1099.99,201,Televisions,2,TV and Video
159,"Adventure Works 37"" 1080p LCD HDTV M150W White",Adventure Works,White,505.85,1099.99,201,Televisions,2,TV and Video
160,"Adventure Works 37"" 1080p LCD HDTV M150W Brown",Adventure Works,Brown,505.85,1099.99,201,Televisions,2,TV and Video
161,"Adventure Works 52"" LCD HDTV X790W Silver",Adventure Works,Silver,527.53,1592.2,201,Televisions,2,TV and Video
162,"Adventure Works 52"" LCD HDTV X790W Black",Adventure Works,Black,527.53,1592.2,201,Televisions,2,TV and Video
163,"Adventure Works 52"" LCD HDTV X790W White",Adventure Works,White,527.53,1592.2,201,Televisions,2,TV and Video
164,"Adventure Works 52"" LCD HDTV X790W Brown",Adventure Works,Brown,527.53,1592.2,201,Televisions,2,TV and Video
165,"Adventure Works 42"" LCD HDTV M55 Black",Adventure Works,Black,389.26,763.51,201,Televisions,2,TV and Video
166,SV 16xDVD M300 Black,Southridge Video,Black,54.72,119,202,VCD & DVD,2,TV and Video
167,SV 8xDVD E100 Black,Southridge Video,Black,35.18,69,202,VCD & DVD,2,TV and Video
168,SV 16xDVD M310 Black,Southridge Video,Black,59.32,129,202,VCD & DVD,2,TV and Video
169,SV 16xDVD M320 Black,Southridge Video,Black,54.72,119,202,VCD & DVD,2,TV and Video
170,SV 16xDVD M330 Black,Southridge Video,Black,50.13,109,202,VCD & DVD,2,TV and Video
171,SV 16xDVD E340 Black,Southridge Video,Black,45.53,99,202,VCD & DVD,2,TV and Video
172,SV 22xDVD X680 Black,Southridge Video,Black,55.99,169,202,VCD & DVD,2,TV and Video
173,SV 8xDVD E120 Black,Southridge Video,Black,45.83,89.9,202,VCD & DVD,2,TV and Video
174,SV 22xDVD M600 Black,Southridge Video,Black,43.04,129.9,202,VCD & DVD,2,TV and Video
175,SV 16xDVD M350 Black,Southridge Video,Black,53.76,116.9,202,VCD & DVD,2,TV and Video
176,SV 16xDVD M360 Black,Southridge Video,Black,58.36,126.9,202,VCD & DVD,2,TV and Video
177,SV 8xDVD E130 Black,Southridge Video,Black,29.01,56.9,202,VCD & DVD,2,TV and Video
178,SV 8xDVD E140 Black,Southridge Video,Black,33.65,66,202,VCD & DVD,2,TV and Video
179,SV 16xDVD M300 Silver,Southridge Video,Silver,54.72,119,202,VCD & DVD,2,TV and Video
180,SV 8xDVD E100 Silver,Southridge Video,Silver,35.18,69,202,VCD & DVD,2,TV and Video
181,SV 16xDVD M310 Silver,Southridge Video,Silver,59.32,129,202,VCD & DVD,2,TV and Video
182,SV 16xDVD M320 Silver,Southridge Video,Silver,54.72,119,202,VCD & DVD,2,TV and Video
183,SV 16xDVD M330 Silver,Southridge Video,Silver,50.13,109,202,VCD & DVD,2,TV and Video
184,SV 16xDVD E340 Silver,Southridge Video,Silver,45.53,99,202,VCD & DVD,2,TV and Video
185,SV 22xDVD X680 Silver,Southridge Video,Silver,55.99,169,202,VCD & DVD,2,TV and Video
186,SV 8xDVD E120 Silver,Southridge Video,Silver,45.83,89.9,202,VCD & DVD,2,TV and Video
187,SV 22xDVD M600 Silver,Southridge Video,Silver,43.04,129.9,202,VCD & DVD,2,TV and Video
188,SV 16xDVD M350 Silver,Southridge Video,Silver,53.76,116.9,202,VCD & DVD,2,TV and Video
189,SV 16xDVD M360 Silver,Southridge Video,Silver,58.36,126.9,202,VCD & DVD,2,TV and Video
190,SV 8xDVD E130 Silver,Southridge Video,Silver,29.01,56.9,202,VCD & DVD,2,TV and Video
191,SV 8xDVD E140 Silver,Southridge Video,Silver,33.65,66,202,VCD & DVD,2,TV and Video
192,Litware Home Theater System 4.1 Channel M410 Black,Litware,Black,275.46,599,203,Home Theater System,2,TV and Video
193,Litware Home Theater System 5.1 Channel M511 Black,Litware,Black,321.44,699,203,Home Theater System,2,TV and Video
194,Litware Home Theater System 2.1 Channel E210 Black,Litware,Black,152.44,299,203,Home Theater System,2,TV and Video
195,Litware Home Theater System 5.1 Channel M510 Black,Litware,Black,293.85,639,203,Home Theater System,2,TV and Video
196,Litware Home Theater System 2.1 Channel E211 Black,Litware,Black,137.6,269.9,203,Home Theater System,2,TV and Video
197,Litware Home Theater System 2.1 Channel E212 Black,Litware,Black,152.9,299.9,203,Home Theater System,2,TV and Video
198,Litware Home Theater System 4.1 Channel M411 Black,Litware,Black,275.46,599,203,Home Theater System,2,TV and Video
199,Litware Home Theater System 4.1 Channel M412 Black,Litware,Black,261.66,569,203,Home Theater System,2,TV and Video
200,Litware Home Theater System 4.1 Channel M413 Black,Litware,Black,252.47,549,203,Home Theater System,2,TV and Video
201,Litware Home Theater System 5.1 Channel M512 Black,Litware,Black,321.44,699,203,Home Theater System,2,TV and Video
202,Litware Home Theater System 5.1 Channel M513 Black,Litware,Black,316.85,689,203,Home Theater System,2,TV and Video
203,Litware Home Theater System 7.1 Channel M710 Black,Litware,Black,264.72,799,203,Home Theater System,2,TV and Video
204,Litware Home Theater System 7.1 Channel X711 Black,Litware,Black,367.43,1109,203,Home Theater System,2,TV and Video
205,Litware Home Theater System 5.1 Channel M514 Black,Litware,Black,275.46,599,203,Home Theater System,2,TV and Video
206,Litware Home Theater System 5.1 Channel M515 Black,Litware,Black,261.66,569,203,Home Theater System,2,TV and Video
207,Litware Home Theater System 5.1 Channel M516 Black,Litware,Black,266.26,579,203,Home Theater System,2,TV and Video
208,Litware Home Theater System 4.1 Channel M410 Silver,Litware,Silver,275.46,599,203,Home Theater System,2,TV and Video
209,Litware Home Theater System 5.1 Channel M511 Silver,Litware,Silver,321.44,699,203,Home Theater System,2,TV and Video
210,Litware Home Theater System 2.1 Channel E210 Silver,Litware,Silver,152.44,299,203,Home Theater System,2,TV and Video
211,Litware Home Theater System 5.1 Channel M510 Silver,Litware,Silver,293.85,639,203,Home Theater System,2,TV and Video
212,Litware Home Theater System 2.1 Channel E211 Silver,Litware,Silver,137.6,269.9,203,Home Theater System,2,TV and Video
213,Litware Home Theater System 2.1 Channel E212 Silver,Litware,Silver,152.9,299.9,203,Home Theater System,2,TV and Video
214,Litware Home Theater System 4.1 Channel M411 Silver,Litware,Silver,275.46,599,203,Home Theater System,2,TV and Video
215,Litware Home Theater System 4.1 Channel M412 Silver,Litware,Silver,261.66,569,203,Home Theater System,2,TV and Video
216,Litware Home Theater System 4.1 Channel M413 Silver,Litware,Silver,252.47,549,203,Home Theater System,2,TV and Video
217,Litware Home Theater System 5.1 Channel M512 Silver,Litware,Silver,321.44,699,203,Home Theater System,2,TV and Video
218,Litware Home Theater System 5.1 Channel M513 Silver,Litware,Silver,316.85,689,203,Home Theater System,2,TV and Video
219,Litware Home Theater System 7.1 Channel M710 Silver,Litware,Silver,264.72,799,203,Home Theater System,2,TV and Video
220,Litware Home Theater System 7.1 Channel X711 Silver,Litware,Silver,367.43,1109,203,Home Theater System,2,TV and Video
221,Litware Home Theater System 5.1 Channel M514 Silver,Litware,Silver,275.46,599,203,Home Theater System,2,TV and Video
222,Litware Home Theater System 5.1 Channel M515 Silver,Litware,Silver,261.66,569,203,Home Theater System,2,TV and Video
223,Litware Home Theater System 5.1 Channel M516 Silver,Litware,Silver,266.26,579,203,Home Theater System,2,TV and Video
224,Litware Home Theater System 4.1 Channel M410 Brown,Litware,Brown,275.46,599,203,Home Theater System,2,TV and Video
225,Litware Home Theater System 5.1 Channel M511 Brown,Litware,Brown,321.44,699,203,Home Theater System,2,TV and Video
226,Litware Home Theater System 2.1 Channel E210 Brown,Litware,Brown,152.44,299,203,Home Theater System,2,TV and Video
227,Litware Home Theater System 5.1 Channel M510 Brown,Litware,Brown,293.85,639,203,Home Theater System,2,TV and Video
228,Litware Home Theater System 2.1 Channel E211 Brown,Litware,Brown,137.6,269.9,203,Home Theater System,2,TV and Video
229,Litware Home Theater System 2.1 Channel E212 Brown,Litware,Brown,152.9,299.9,203,Home Theater System,2,TV and Video
230,Litware Home Theater System 4.1 Channel M411 Brown,Litware,Brown,275.46,599,203,Home Theater System,2,TV and Video
231,Litware Home Theater System 4.1 Channel M412 Brown,Litware,Brown,261.66,569,203,Home Theater System,2,TV and Video
232,Litware Home Theater System 4.1 Channel M413 Brown,Litware,Brown,252.47,549,203,Home Theater System,2,TV and Video
233,Litware Home Theater System 5.1 Channel M512 Brown,Litware,Brown,321.44,699,203,Home Theater System,2,TV and Video
234,Litware Home Theater System 5.1 Channel M513 Brown,Litware,Brown,316.85,689,203,Home Theater System,2,TV and Video
